Particulars,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
BSNL- All India,NA,11406.94,12272.12,13569.08,14768.25,47099.51,76499.68,123512.76,200773.08,282288.6,330829.09
BSNL- Andaman and Nicobar,16.98,19.11,21.02,22.6,22.2,39.19,40.12,47.97,66.48,NA,NA
BSNL- Andhra Pradesh,NA,1151.75,1335.35,1385.42,1373.23,4042.5,6232.06,9168.5,14783.81,20657.34,24234.8
BSNL- Assam,NA,119.95,135.32,154.64,182.64,589.92,1121.6,2387.03,4759.34,6226.8,7446.28
BSNL- Bihar,NA,375.65,396.79,453.24,540.74,1693.67,2791.12,7805.64,15639.85,24414.83,28945.4
BSNL- Chhattisgarh,47.48,68.68,81.31,94.74,92.44,176.79,251.69,330.97,429.86,NA,NA
BSNL- Gujarat,NA,818.28,846.32,879.96,911.61,3581.45,5676.49,8824.24,11838.46,16626.79,19354.26
BSNL- Haryana,NA,360.51,382.11,438.5,490.32,1743.26,2818.43,4657.32,6590.17,8672.19,9530.63
BSNL- Himachal Pradesh,NA,306.94,316.15,387.67,417.86,1303.24,1816.75,2407.12,3150.84,4246.64,4678.02
BSNL- Jammu & Kashmir,NA,41.37,50.13,64.03,73.1,417.98,653.97,1405.57,2288.06,2575.44,2672.14
BSNL- Jharkhand,63.63,87.78,99.94,112.1,130.02,248.26,276.13,339.88,511.07,NA,NA
BSNL- Karnataka,NA,844.56,867.33,895.85,953.46,2723.32,4233.92,5303.37,8942.73,13106.71,16537.82
BSNL- Kerala,NA,1889.16,2091.95,2409.4,2661.15,5272.53,6596.17,8999.68,11432.16,13741.85,16103.83
BSNL- Madhya Pradesh,NA,258.63,319.69,316.92,384.51,1613.94,2642.14,5621.11,10363.89,16261.79,18611.94
BSNL- Maharashtra,NA,1251.82,1356.85,1495.76,1643.38,4266.44,7555.17,13122.56,19657.74,28251.35,32104.34
BSNL- North East I,NA,48.92,56.28,63.56,67.88,244.58,381.46,789.85,2255.93,NA,NA
BSNL- North East II,NA,36.65,48.56,54.63,58.32,126.28,146.79,164.13,261.59,NA,NA
BSNL- Orissa,NA,278.84,308.64,339.35,379.95,1386.43,2372.56,4201.19,6947.82,9643.19,11990.32
BSNL- Punjab,NA,758.58,802.53,884.43,881.43,2720.48,4244.99,5630.69,7261.94,9813.99,11167.29
BSNL- Rajasthan,NA,566.77,615.34,677.51,797.47,3269.37,6277.48,8372.42,15988.37,20047.7,23002.65
BSNL- Tamil Nadu,NA,729.93,799.68,947.96,1006.45,3181.13,5133.56,8218.79,12028.14,15112.64,17214.4
BSNL- Uttaranchal,72.45,84.22,97.33,108.46,124.31,297.43,353.76,421.45,553.75,NA,NA
BSNL- Uttar Pradesh- East and West,NA,776.37,665.84,745.02,801.76,4554.04,9386.63,15558.31,28900.93,43593.16,51459.74
BSNL- West Bengal,NA,532.47,577.66,637.35,703.8,2921.63,4644.67,8569.82,14933.23,23929.56,27511.9
