Particulars,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
All India,NA,43210.34,64267.39,84804.1,127323.78,158767.26,223992.75,306212.42,420507.01,564039.56,620516.92
BSNL- Total,NA,34947.18,51409.06,68791.34,106199.56,132007.36,188972.51,259596.4,360413.45,485680.42,537596
BSNL- Andaman and Nicobar,16.05,18.87,23.27,26.1,48.71,36.52,42.58,51.07,77.68,NA,NA
BSNL- Andhra Pradesh,NA,3252.43,4853.52,6161.78,9452.33,11973.57,17056.45,23783.9,33302.74,42387.67,44953.65
BSNL- Assam,NA,416.89,464.18,643.66,1465.77,2244.37,3221.81,3774.96,4305.05,5701.6,6991.65
BSNL- Bihar,NA,774.58,1092.51,1656.29,4315.34,5066.47,9056.68,13296.68,20995.24,30322.64,35145.95
BSNL- Chhattisgarh,217.91,246.77,275.93,310.47,386.66,566.39,768.25,886.88,945.45,NA,NA
BSNL- Gujarat,NA,3313.07,4655.46,6057.74,8478.17,10028.11,13568.46,17400.29,22592.48,32278.05,35798.52
BSNL- Haryana,NA,1017.19,1523.84,2020.04,2848.43,3752.54,4537.29,6120.25,8367.04,12367.43,13619.55
BSNL- Himachal Pradesh,NA,227.37,331.23,447.19,789.47,562.71,899.86,1293.43,2192.38,3306.77,3601.61
BSNL- Jammu & Kashmir,NA,222.7,278.62,510.94,1344.07,1368.8,1807.43,2338.21,3491.29,3395.18,3839.01
BSNL- Jharkhand,318.6,385.57,474.76,549.65,743.6,772.23,810.56,920.85,1210.43,NA,NA
BSNL- Karnataka,NA,2790.33,4371.13,5874.26,8632.48,11547.2,15653.42,21023.17,30965.62,39085.53,41867.25
BSNL- Kerala,NA,1792.14,2783.88,3843.97,5934.79,6007.96,8774.74,10976.82,16222.82,20919.94,21102.08
BSNL- Madhya Pradesh,NA,1649.01,2257.66,3104.13,4380.54,6657.39,11322.44,15435.93,21811.82,30947.02,34149.16
BSNL- Maharashtra,NA,3919.05,5574.04,7123.3,9766.13,12444.04,17166.8,21493.05,26867.95,36318.09,41011.08
BSNL- North East I,NA,150.83,171.24,229.54,488.33,900.27,1554.96,2360.2,2680.53,NA,NA
BSNL- North East II,NA,101.48,116.1,157.88,247.66,293.84,377.59,371.05,438.17,NA,NA
BSNL- Orissa,NA,587.04,824.85,1191.71,2579.6,2350.76,3580.76,5133.56,8937.32,13343.28,15091.43
BSNL- Punjab,NA,2320.25,3817.29,4967.86,6578.96,7500.88,9154.84,10899.56,14438.96,20526.34,22228.75
BSNL- Rajasthan,NA,1498.18,2127.28,3080.69,5238.46,6569.04,9066.3,16050.14,19277.72,24339.88,27321.71
BSNL- Tamil Nadu,NA,2869.98,4188.91,5743.79,7717.15,10106.29,15652.65,21819.72,32413.82,43593.45,63655.46
BSNL- Uttaranchal,242.29,289.22,358.92,413.3,563.79,593.3,656.29,698.63,809.87,NA,NA
BSNL- Uttar Pradesh- East and West,NA,2970.36,4607.23,6581.45,11840.75,15589.79,21467.98,32775.88,47238.78,68175.97,77510.37
BSNL- West Bengal,NA,758.19,968.17,1493.35,3273.1,3329.75,5858.97,8042.75,10993.81,16489.33,19441.62
BSNL- Kolkatta,NA,1847.62,2642.86,3384.16,4881,5912.22,8600.1,12138.68,17143.64,23697.52,25271.42
BSNL- Chennai,1290.04,1528.07,2626.18,3218.08,4204.28,5832.96,8315.3,10510.77,12692.82,14271,NA
MTNL- Total,NA,8263.16,12858.34,16012.76,21124.22,26759.9,35020.24,46616.02,60093.56,78359.14,82920.93
MTNL- Delhi,NA,4078.9,6463,7959.25,10533.76,14356.5,18703.59,24501.34,30666.15,40567.38,43626.09
MTNL- Mumbai,NA,4184.26,6395.33,8053.52,10590.46,12403.4,16316.65,22114.68,29427.41,37791.76,39294.84
